track_id,track_info,artists,name,playcount,explicit,popularity
2ljjlLOkHksWFJG06bBpx2,"{'uri': 'spotify:track:2ljjlLOkHksWFJG06bBpx2', 'playcount': 310098, 'name': 'huckleberry lemonade', 'popularity': 0, 'number': 1, 'duration': 244756, 'explicit': False, 'playable': True, 'artists': [{'name': 'Cadence Floria', 'uri': 'spotify:artist:11Vu80Yb4WYdbkqROFixrS', 'image': {'uri': ''}}]}",['Cadence Floria'],huckleberry lemonade,310098,False,0
71b2vI2d4EB9Xo6aeC5D5R,"{'uri': 'spotify:track:71b2vI2d4EB9Xo6aeC5D5R', 'playcount': 116990, 'name': 'durham', 'popularity': 0, 'number': 1, 'duration': 222000, 'explicit': False, 'playable': True, 'artists': [{'name': 'Ethan Regan', 'uri': 'spotify:artist:3UNkRVGHGCrGCE0930Bt9e', 'image': {'uri': ''}}]}",['Ethan Regan'],durham,116990,False,0
2yPoXCs7BSIUrucMdK5PzV,"{'uri': 'spotify:track:2yPoXCs7BSIUrucMdK5PzV', 'playcount': 1328500102, 'name': 'Umbrella', 'popularity': 0, 'number': 1, 'duration': 275986, 'explicit': False, 'playable': True, 'artists': [{'name': 'Rihanna', 'uri': 'spotify:artist:5pKCCKE2ajJHZ9KAiaK11H', 'image': {'uri': ''}}]}",['Rihanna'],Umbrella,1328500102,False,0
3xtiXNDbSKxy20I7D6vFUg,"{'uri': 'spotify:track:3xtiXNDbSKxy20I7D6vFUg', 'playcount': 200218129, 'name': 'Soldier, Poet, King', 'popularity': 0, 'number': 10, 'duration': 165673, 'explicit': False, 'playable': True, 'artists': [{'name': 'The Oh Hellos', 'uri': 'spotify:artist:3Fe3pszR2t4TOBVz41B1WR', 'image': {'uri': ''}}]}",['The Oh Hellos'],"Soldier, Poet, King",200218129,False,0
2R3I5DiDf8bLz2QjrPmUpk,"{'uri': 'spotify:track:2R3I5DiDf8bLz2QjrPmUpk', 'playcount': 146224105, 'name': 'Vagabond', 'popularity': 0, 'number': 2, 'duration': 129463, 'explicit': False, 'playable': True, 'artists': [{'name': 'Caamp', 'uri': 'spotify:artist:0wyMPXGfOuQzNR54ujR9Ix', 'image': {'uri': ''}}]}",['Caamp'],Vagabond,146224105,False,0
1wDSBJSCKxB8qZR6jnfqgt,"{'uri': 'spotify:track:1wDSBJSCKxB8qZR6jnfqgt', 'playcount': 27490454, 'name': 'All Is Well', 'popularity': 0, 'number': 1, 'duration': 150967, 'explicit': False, 'playable': True, 'artists': [{'name': 'Hans Williams', 'uri': 'spotify:artist:3SEkDN2vusR7CIyehzfJaj', 'image': {'uri': ''}}]}",['Hans Williams'],All Is Well,27490454,False,0
0i5QVxsK3IvEDbUjTA64Li,"{'uri': 'spotify:track:0i5QVxsK3IvEDbUjTA64Li', 'playcount': 187191583, 'name': 'Silver Lining', 'popularity': 0, 'number': 3, 'duration': 198600, 'explicit': False, 'playable': True, 'artists': [{'name': 'Mt. Joy', 'uri': 'spotify:artist:69tiO1fG8VWduDl3ji2qhI', 'image': {'uri': ''}}]}",['Mt. Joy'],Silver Lining,187191583,False,0
63eE1BQeJWDSQIfn4zs1Gx,"{'uri': 'spotify:track:63eE1BQeJWDSQIfn4zs1Gx', 'playcount': 3033086, 'name': 'Hurting Kind', 'popularity': 0, 'number': 4, 'duration': 220521, 'explicit': False, 'playable': True, 'artists': [{'name': 'Del Water Gap', 'uri': 'spotify:artist:0xPoVNPnxIIUS1vrxAYV00', 'image': {'uri': ''}}]}",['Del Water Gap'],Hurting Kind,3033086,False,0
34nYWTBYOKfTFYKIhVrqdT,"{'uri': 'spotify:track:34nYWTBYOKfTFYKIhVrqdT', 'playcount': 4251400, 'name': 'Words I Used', 'popularity': 0, 'number': 5, 'duration': 323466, 'explicit': False, 'playable': True, 'artists': [{'name': 'The Backseat Lovers', 'uri': 'spotify:artist:6p2HnfM955TI1bX34dkLnI', 'image': {'uri': ''}}]}",['The Backseat Lovers'],Words I Used,4251400,False,0
4esS3584y3Mjvbqg0FE6Uj,"{'uri': 'spotify:track:4esS3584y3Mjvbqg0FE6Uj', 'playcount': 157518791, 'name': 'The Suburbs', 'popularity': 0, 'number': 1, 'duration': 315200, 'explicit': False, 'playable': True, 'artists': [{'name': 'Arcade Fire', 'uri': 'spotify:artist:3kjuyTCjPG1WMFCiyc5IuB', 'image': {'uri': ''}}]}",['Arcade Fire'],The Suburbs,157518791,False,0
